date,price
datetime,float
T,
1984-10-31,38
1984-08-01,38
1980-12-10,38
2000-04-20,38.0625
2000-03-29,38.0625
2001-10-12,38.09
2001-06-12,38.110001
1979-11-12,38.124962
1979-10-03,38.124962
1999-10-01,38.125
1999-09-20,38.125
1992-08-27,38.125
1991-10-30,38.125
1991-10-23,38.125
1991-05-24,38.125
1990-09-07,38.125
1985-02-20,38.125
1978-05-10,38.125118
2001-10-08,38.130001
2001-10-19,38.139999
2000-12-26,38.150002
2000-04-19,38.1875
2000-04-07,38.1875
2001-05-14,38.200001
2001-01-02,38.200001
1979-10-02,38.24992
2001-10-15,38.25
2001-05-15,38.25
1999-09-16,38.25
1992-10-08,38.25
1992-08-28,38.25
1992-01-06,38.25
1991-11-08,38.25
1991-09-04,38.25
1991-05-29,38.25
1991-05-28,38.25
1991-01-25,38.25
1990-10-15,38.25
1984-03-12,38.25
1984-03-07,38.25
2001-10-18,38.290001
2001-09-17,38.299999
2001-04-09,38.369999
2000-04-26,38.375
2000-03-28,38.375
1992-08-31,38.375
1991-10-29,38.375
1991-05-22,38.375
1990-08-13,38.375
1984-11-02,38.375
1984-02-01,38.375
1978-06-29,38.375038
1978-06-23,38.375038
1978-06-21,38.375038
1978-04-28,38.375038
2001-10-22,38.41
2001-05-11,38.41
2001-05-08,38.450001
2001-10-16,38.5
2000-08-09,38.5
2000-05-10,38.5
2000-04-04,38.5
1992-10-12,38.5
1992-08-24,38.5
1992-01-02,38.5
1991-12-30,38.5
1991-11-13,38.5
1991-11-11,38.5
1991-11-06,38.5
1991-11-04,38.5
1991-10-31,38.5
1991-08-19,38.5
1991-06-28,38.5
1991-06-24,38.5
1991-01-23,38.5
1990-10-23,38.5
1990-09-06,38.5
1990-08-30,38.5
1990-08-09,38.5
1984-11-06,38.5
1984-11-01,38.5
1984-10-30,38.5
1984-10-25,38.5
1984-10-02,38.5
1984-03-14,38.5
1984-02-28,38.5
1980-12-09,38.5
1979-11-13,38.5
2000-12-22,38.529999
2009-03-12,38.560001
2000-02-02,38.5625
1999-09-17,38.5625
2000-09-18,38.610001
1980-12-16,38.624962
2000-03-30,38.625
1999-12-14,38.625
1991-11-05,38.625
1991-11-01,38.625
1991-10-28,38.625
1991-08-20,38.625
1984-11-05,38.625
1984-03-08,38.625
1984-03-06,38.625
2001-06-21,38.650002
2000-02-10,38.6875
2000-01-28,38.6875
2001-10-05,38.700001
2001-10-10,38.709999
2001-06-28,38.709999
2000-09-11,38.709999
1991-12-31,38.75
1991-11-12,38.75
1991-07-02,38.75
1991-05-30,38.75
1991-05-14,38.75
1991-05-08,38.75
1988-02-03,38.75
1985-02-26,38.75
1978-06-02,38.75008
2001-10-24,38.779999
2000-03-27,38.78125
2000-12-27,38.790001
2001-06-11,38.799999
2000-03-31,38.8125
2000-12-28,38.82
